method,budget,AUC_Top5@B,AUC_Top5@B_std
BUCB,10,0.44624337284501375,0.0
BUCB+MI,10,0.40026951423015084,6.798699777552591e-17
BUCB,20,0.5114191376150395,0.0
BUCB+MI,20,0.4673499182562015,0.0
BUCB,30,0.5452066136158719,0.0
BUCB+MI,30,0.5045551877397219,0.0
BUCB,40,0.5675288568935232,0.0
BUCB+MI,40,0.5305393786965726,0.0
BUCB,50,0.5828196714093365,0.0
BUCB+MI,50,0.5470531563450541,0.0
BUCB,60,0.5935776923160283,0.0
BUCB+MI,60,0.559585970547983,0.0
BUCB,70,0.6017818916318181,0.0
BUCB+MI,70,0.5693922069708367,0.0
BUCB,80,0.609354542156278,0.0
BUCB+MI,80,0.5771109266561453,0.0
BUCB,90,0.6154472456812943,0.0
BUCB+MI,90,0.5832594689489924,0.0
BUCB,100,0.6203771600322385,0.0
BUCB+MI,100,0.5883151885755182,0.0
BUCB,110,0.6244898807169584,0.0
BUCB+MI,110,0.5924939681228171,0.0
BUCB,120,0.6282587195734908,0.0
BUCB+MI,120,0.5960314917634139,0.0
BUCB,130,0.6316397229272561,0.0
BUCB+MI,130,0.5991531705745675,0.0
BUCB,140,0.6345395891008565,0.0
BUCB+MI,140,0.6020636022096333,0.0
BUCB,150,0.6371988983428974,0.0
BUCB+MI,150,0.6051392489090383,0.0
BUCB,160,0.6399035299482382,0.0
BUCB+MI,160,0.6088186148787484,0.0
BUCB,170,0.6422899696000095,0.0
BUCB+MI,170,0.6121447454686483,0.0
BUCB,180,0.644411249290473,0.0
BUCB+MI,180,0.6151275074883185,0.0
BUCB,190,0.6463092363819405,0.0
BUCB+MI,190,0.6177962945585497,0.0
BUCB,200,0.6480174247642608,0.0
BUCB+MI,200,0.620198202921758,0.0
