Iteration,Top5_running_mean
1,0.0
2,0.0
3,0.0
4,0.0
5,0.08608
6,0.086127
7,0.086127
8,0.13604699999999997
9,0.151993
10,0.15201789999999998
11,0.15212921999999998
12,0.15223609999999999
13,0.16563187999999998
14,0.16563187999999998
15,0.16716739999999997
16,0.20701799999999998
17,0.20701799999999998
18,0.20701799999999998
19,0.21360600000000002
20,0.21360600000000002
21,0.21360600000000002
22,0.24609999999999999
23,0.29072
24,0.29072
25,0.30598000000000003
26,0.35344000000000003
27,0.35344000000000003
28,0.39898
29,0.39898
30,0.39898
31,0.41848
32,0.41848
33,
