Iteration,Top5_running_mean
1,0.4565
2,0.22825
3,0.15216676616666666
4,0.13005257462500003
5,0.10497065970000001
6,0.10497065970000001
7,0.15795065970000002
8,0.2433506
9,0.2433506
10,0.280642
11,0.280642
12,0.30428
13,0.36106
14,0.36478
15,0.36478
16,0.36478
17,0.40607999999999994
18,0.40634
19,0.40634
20,0.40634
21,0.40634
22,0.40634
23,0.40976
24,0.44265999999999994
25,0.44265999999999994
26,0.44265999999999994
27,0.44265999999999994
28,0.44268
29,0.46403999999999995
30,0.46403999999999995
31,0.46418
32,0.46418
33,0.48373999999999995
34,0.4844799999999999
35,0.48974
36,0.48974
37,0.48974
38,0.49863999999999997
39,0.49863999999999997
40,0.5048600000000001
41,0.5048600000000001
42,0.5048600000000001
43,0.5048600000000001
44,0.52008
45,0.5417799999999999
46,0.5417799999999999
47,0.5417799999999999
48,0.54644
49,0.549
50,0.549
51,0.549
52,0.549
53,0.549
54,0.549
55,0.549
56,0.549
57,0.549
58,0.5520799999999999
59,0.55608
60,0.55608
61,0.55608
62,0.55608
63,0.5747
64,0.5747
65,0.59382
66,0.59382
67,0.59382
68,0.5968
69,0.5968
70,0.6016
71,0.6016
72,0.6016
73,0.6016
74,0.60332
75,0.60332
76,0.60332
77,0.60332
78,0.6086
79,0.6086
80,0.6086
81,0.6086
82,0.6086
83,0.6086
84,0.6086
85,0.609
86,0.609
87,0.609
88,0.61458
89,0.61458
90,0.61458
91,0.61458
92,0.61732
93,0.61732
94,0.61732
95,0.61732
96,0.61732
97,0.61732
98,0.61732
99,0.61732
100,0.61732
101,0.61732
102,0.61732
103,0.61732
104,0.61732
105,0.61732
106,0.61732
107,0.61732
108,0.61732
109,0.61732
110,0.6206200000000001
111,0.6206200000000001
112,0.6206200000000001
113,0.6206200000000001
114,0.6206200000000001
115,0.6206200000000001
116,0.6206200000000001
117,0.6206200000000001
118,0.6206200000000001
119,0.6206200000000001
120,0.6206200000000001
121,0.6206200000000001
122,0.6206200000000001
123,0.6206200000000001
124,0.6206200000000001
125,0.6206200000000001
126,0.6206200000000001
127,0.6206200000000001
128,0.62884
129,0.62884
130,0.62884
131,0.62884
132,0.62884
133,0.62884
134,0.62884
135,0.62884
136,0.62884
137,0.62884
138,0.6343799999999999
139,0.6343799999999999
140,0.6343799999999999
141,0.6413800000000001
142,0.6413800000000001
143,0.6413800000000001
144,0.6413800000000001
145,0.6413800000000001
146,0.6413800000000001
147,0.6413800000000001
148,0.6413800000000001
149,0.6413800000000001
150,0.6413800000000001
151,0.64288
152,0.64704
153,0.64704
154,0.64704
155,0.64704
156,0.64704
157,0.64704
158,0.64704
159,0.64704
160,0.6575
161,0.6576799999999999
162,0.6576799999999999
163,0.6576799999999999
164,0.6576799999999999
165,0.6576799999999999
166,0.6576799999999999
167,0.6576799999999999
168,0.6576799999999999
169,0.6576799999999999
170,0.6576799999999999
171,0.6576799999999999
172,0.6576799999999999
173,0.6576799999999999
174,0.6576799999999999
175,0.6576799999999999
176,0.6576799999999999
177,0.66482
178,0.6664800000000001
179,0.6664800000000001
180,0.6664800000000001
181,0.67358
182,0.67358
183,0.67358
184,0.67358
185,0.67358
186,0.67358
187,0.67604
188,0.67604
189,0.67604
190,0.67604
191,0.67604
192,0.67604
193,0.67604
194,0.6771199999999999
195,0.6771199999999999
196,0.6771199999999999
197,0.6771199999999999
198,0.6771199999999999
199,0.6771199999999999
200,0.6771199999999999
