Eta,Trial,AUC,FinalTopK,NumEvals
0.05,1,0.6614098333333334,0.7033,200
0.05,2,0.6621466475000001,0.7065199999999999,200
0.05,3,0.6578286180833334,0.6905399999999999,200
0.1,1,0.6177473447166668,0.6780999999999999,200
0.1,2,0.6529080883333332,0.6888799999999999,200
0.1,3,0.62692585325,0.6597,200
0.25,1,0.6063610737951833,0.71056,200
0.25,2,0.594820205981,0.67838,200
0.25,3,0.6155227334608334,0.6989600000000001,200
0.5,1,0.5629326455977334,0.6796800000000001,200
0.5,2,0.5723930325994584,0.6771199999999999,200
0.5,3,0.5511249266708336,0.68072,200
