Method,Beta,Trial,NumPareto,MeanNumCircles,Path
UCB,1.00,1,2,1.8235294117647058,logs_bucb_beta_1.0/trial_1/beta_1.00/logs_terminal_output_jax_bucb.csv
UCB,1.00,2,2,1.8823529411764706,logs_bucb_beta_1.0/trial_2/beta_1.00/logs_terminal_output_jax_bucb.csv
UCB,1.00,3,3,2.6470588235294117,logs_bucb_beta_1.0/trial_3/beta_1.00/logs_terminal_output_jax_bucb.csv
UCB,10.00,1,1,1.0,logs_bucb_beta_10.0/trial_1/beta_10.00/logs_terminal_output_jax_bucb.csv
UCB,10.00,2,2,1.8823529411764706,logs_bucb_beta_10.0/trial_2/beta_10.00/logs_terminal_output_jax_bucb.csv
UCB,10.00,3,2,1.8823529411764706,logs_bucb_beta_10.0/trial_3/beta_10.00/logs_terminal_output_jax_bucb.csv
UCB,5.00,1,2,1.9411764705882353,logs_bucb_beta_5.0/trial_1/beta_5.00/logs_terminal_output_jax_bucb.csv
UCB,5.00,2,1,1.0,logs_bucb_beta_5.0/trial_2/beta_5.00/logs_terminal_output_jax_bucb.csv
UCB,5.00,3,1,1.0,logs_bucb_beta_5.0/trial_3/beta_5.00/logs_terminal_output_jax_bucb.csv
UCB,1.00,1,1,1.0,logs_ucb/trial_1/beta_1.00/logs_terminal_output_jax_ucb.csv
UCB,1.00,2,1,1.0,logs_ucb/trial_2/beta_1.00/logs_terminal_output_jax_ucb.csv
UCB,1.00,3,1,1.0,logs_ucb/trial_3/beta_1.00/logs_terminal_output_jax_ucb.csv
