Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f,Method
1,0.1,0,1,5,COC(=O)C(CC(C)C)NC(=O)C(NC(=O)CCOCC1OC(OCCCNC(=O)C(NC(=O)C(C)NC(=O)OC(C)(C)C)C(C)C)C(O)C(O)C1O)C(C)C,0.4401,0.4666,BUCB+MI
1,0.1,0,2,5,O=C(O)CC1(CC(=O)N2CCN(CCO)CC2)CCCC1,0.4979,0.4641,BUCB+MI
1,0.1,0,3,5,CCOC(=O)CNc1ncc([N+](=O)[O-])cc1C#N,0.4822,0.4023,BUCB+MI
1,0.1,0,4,5,C=C1CC2(O)C3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C,0.4709,0.4961,BUCB+MI
1,0.1,0,5,5,Nc1nc(N)nc(NCCCNC2CCCCC2NCCCNc2nc(N)nc(N)n2)n1,0.4449,0.4515,BUCB+MI
1,0.1,1,1,5,CCCCCCCCCCCCCCC1CC(OC(C)=O)C(CO)OC1=O,0.5003,0.2809,BUCB+MI
1,0.1,1,2,5,Cc1cc(S(=O)(=O)CC2(NC(=O)NC(C(=O)N3CC4C(C3C(=O)NC(CC3CC3)C(=O)C(N)=O)C4(C)C)C(C)(C)C)CCCCC2)co1,0.5949,0.5173,BUCB+MI
1,0.1,1,3,5,COc1c(C)cnc(Cn2cnc3c(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)nc(N)nc32)c1C,0.5879,0.5133,BUCB+MI
1,0.1,1,4,5,COC(=O)C12CCCCC=C1N(CCC1=CCCCC1)C(=O)C(CC(=O)NCCCN1CCCC1=O)C2,0.619,0.5777,BUCB+MI
1,0.1,1,5,5,COC(=O)Cc1n[nH]c2c1C1(CCSCC1)C(C#N)=C(N)O2,0.5458,0.4408,BUCB+MI
1,0.1,2,1,5,N=C(N)NCCCC1NC(=O)C(CO)NC(=O)C[S+]([O-])CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)CNC1=O,0.6102,0.4789,BUCB+MI
1,0.1,2,2,5,CCC1CCCCN1C(=O)NC(CCSC)C(=O)OC,0.6329,0.0985,BUCB+MI
1,0.1,2,3,5,CCC1(C)CC(OC(=O)COC2CCN(C(=O)CCn3cnc4c(N5CCC(N)C5)ncnc43)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.6408,0.5705,BUCB+MI
1,0.1,2,4,5,CCOC(=O)c1sc(N)nc1-c1ccc(P(=O)(NC2(C(=O)OCC)CCCC2)NC2(C(=O)OCC)CCCC2)o1,0.667,0.5142,BUCB+MI
