Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f,Method
,,0,1,5,COc1ccc(CCNC(=O)CCNC(=O)c2ccc(Cl)cc2)cc1OC,0.5967,0.4371,BUCB
,,0,2,5,CCc1ccc2nc(Nc3nc(O)cc(COC)n3)nc(C)c2c1,0.5938,0.4914,BUCB
,,0,3,5,N#Cc1c(-c2ccc(OCCO)cc2)c(C#N)c2nc3ccccc3n2c1N,0.5674,0.5179,BUCB
,,0,4,5,NC(=O)CSc1ccccc1NCc1nc(C2CC2)no1,0.5459,0.5039,BUCB
,,0,5,5,Cn1c(S)nnc1CCNC(=O)c1ccc(Cl)cc1,0.5703,0.1,BUCB
,,1,1,5,Cc1cc2nc3c(C#N)c(-c4ccc(OCC(N)=O)cc4)c(C#N)c(N)n3c2cc1C,0.6024,0.4823,BUCB
,,1,2,5,COc1ccc2nc(Nc3nc(O)cc(CSc4ccc(C)cc4)n3)nc(C)c2c1,0.6023,0.4665,BUCB
,,1,3,5,O=S(=O)(CCc1ccccc1)Cc1nc(C2CC2)no1,0.5847,0.3176,BUCB
,,1,4,5,COc1ccc(CCNC(=O)CSc2nc3ccccc3o2)cc1OC,0.5974,0.3529,BUCB
,,1,5,5,CCOc1ccccc1NC(=O)CCNC(=O)c1ccc(Cl)cc1,0.5809,0.2369,BUCB
,,2,1,5,CCNc1ccc2c(O)nc(Nc3nc(C)c4cc(OC)ccc4n3)nc2c1,0.6133,0.5028,BUCB
,,2,2,5,CNC(=O)c1cc(CSc2nc(N)c(C#N)c(-c3ccc(OCCN=C(O)C(C)N)cc3)c2C#N)ccn1,0.5982,0.5224,BUCB
,,2,3,5,COc1ccc(-c2noc(CCCC(=O)Nc3ccc(C(N)=O)cc3)n2)cc1OC,0.5913,0.5892,BUCB
,,2,4,5,Cc1c(CCC(C)C)c(O)n2c(nc3ccccc32)c1C#N,0.5812,0.1282,BUCB
,,2,5,5,COc1ccc2nc(C)cc(OCC(=O)NCc3ccccc3)c2c1,0.5956,0.1306,BUCB
,,3,1,5,COc1ccc(-c2noc(CCC(=O)Nc3ccccc3Cl)n2)cc1OC,0.666,0.531,BUCB
,,3,2,5,COc1ccc(-c2c(C#N)c(N)nc(SCCO)c2C#N)cc1OC,0.6545,0.4938,BUCB
,,3,3,5,COc1ccc2nc(Nc3nc(O)c4ccc(Cl)cc4n3)nc(C)c2c1,0.6353,0.473,BUCB
,,3,4,5,Cc1noc(C)c1-c1ccc(CCOc2ccc(NC(=O)C(C)(N)CO)cc2)cc1,0.6137,0.614,BUCB
,,3,5,5,COC(=O)c1ccc(-c2c(C#N)c(N)nc(Sc3ccccc3O)c2C#N)cc1,0.6393,0.4773,BUCB
,,4,1,5,COc1ccc(-c2noc(CNS(=O)(=O)c3ccc(NC(C)=O)cc3)n2)cc1OC,0.7062,0.5089,BUCB
,,4,2,5,COc1ccc(-c2nc(CSc3nc(N)c(C#N)c(-c4ccc(OC)cc4)c3C#N)cs2)cc1,0.6704,0.3455,BUCB
,,4,3,5,CCCCOc1ccc(C(=O)NCCc2sc(-c3ccc(OC)c(OC)c3)nc2C)cc1,0.6773,0.2233,BUCB
,,4,4,5,Cc1ccc(-c2noc(CCC(=O)NCc3ccc4c(c3)OCO4)n2)cc1,0.6517,0.555,BUCB
,,4,5,5,COc1ccc2c(C)nc(Nc3nc(O)cc(O)n3)nc2c1,0.627,0.4306,BUCB
,,5,1,5,COc1ccc(-c2noc(CCC(=O)N(C)c3cc(Cl)ccc3OC)n2)cc1,0.7035,0.4306,BUCB
,,5,2,5,O=C(NO)c1ccc(CNCc2nc(-c3ccc(F)cc3)no2)cc1,0.6749,0.5443,BUCB
,,5,3,5,N#Cc1c(N)nc(Sc2ccc(Cl)cc2)c(C#N)c1-c1ccc2c(c1)OCO2,0.6528,0.4452,BUCB
,,5,4,5,COc1ccc(-c2noc(CSc3nnc(C)n3-c3ccc(C)cc3)n2)cc1OC,0.674,0.4936,BUCB
,,5,5,5,CCc1ccc(-c2ccc(NC(=O)C(C)(N)CO)cc2)cc1,0.6527,0.4174,BUCB
,,6,1,5,O=C(NCc1nc(-c2ccc(Cl)cc2)no1)c1ccc2c(c1)OCO2,0.7057,0.4814,BUCB
,,6,2,5,COc1ccc(-c2noc(-c3ccc(O)cc3)n2)cc1OC,0.6969,0.3929,BUCB
,,6,3,5,O=C(O)CCc1ccc(OCc2nc(-c3cccc(Br)c3)no2)cc1,0.692,0.5242,BUCB
,,6,4,5,CNCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(S(C)(=O)=O)cc2)cc1,0.6539,0.5581,BUCB
,,6,5,5,Cc1ccc(-c2noc(CCCC(=O)NC3CCCCC3)n2)cc1,0.6676,0.2606,BUCB
,,7,1,5,O=C(O)Cc1ccc(OCc2nc(-c3cccc(Cl)c3)no2)cc1,0.7049,0.5356,BUCB
,,7,2,5,CC(C)CCOCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(S(C)(=O)=O)cc2)cc1,0.6968,0.5898,BUCB
,,7,3,5,COc1ccc(-c2ccc(SCC(=O)NCc3ccc4c(c3)OCO4)nn2)cc1OC,0.6817,0.5454,BUCB
,,7,4,5,CCN(Cc1ccncc1)Cc1nc(-c2ccc(C(=O)OC)cc2)no1,0.6804,0.5063,BUCB
,,7,5,5,N#Cc1c(N)nc(SCc2ccc(Cl)c(Cl)c2)c(C#N)c1-c1ccsc1,0.6401,0.261,BUCB
,,8,1,5,CCc1nc(N)nc(N2CCOCC2)c1-c1ccc(NCc2ccc(S(C)(=O)=O)cc2)cc1,0.707,0.6202,BUCB
,,8,2,5,COc1ccc(-c2noc(CC(=O)Nc3ccc(F)cc3F)n2)cc1,0.696,0.3856,BUCB
,,8,3,5,CCOc1ccc(-c2nc(C#N)c(NCc3ccc4c(c3)OCO4)o2)cc1,0.6929,0.4942,BUCB
,,8,4,5,Nc1nc(N)c2cc(NCc3ccc(C(=O)NC(CC(=O)O)C(=O)O)cc3)ccc2n1,0.6814,0.5642,BUCB
,,8,5,5,COc1ccc(-c2noc(CSc3nnc(-c4ccc(Cl)cc4)n3C)n2)cc1OC,0.6872,0.4686,BUCB
,,9,1,5,CCOC(=O)c1ccc(CNc2ccc3nc(N)nc(O)c3c2C)cc1,0.7244,0.5443,BUCB
,,9,2,5,CCc1nc(N)nc(N)c1-c1ccc(NCc2cc(F)cc(F)c2)cc1,0.7167,0.5402,BUCB
,,9,3,5,COc1nc(O)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,0.7163,0.598,BUCB
,,9,4,5,Cc1ccc(Cc2nc(-c3cccc(C)c3)no2)cc1,0.6879,0.006736,BUCB
,,9,5,5,COc1ccc(CNC(=O)CCSc2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2)cc1,0.6947,0.4685,BUCB
,,10,1,5,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,0.7518,0.5603,BUCB
,,10,2,5,CCOc1ccc(Cl)cc1-c1cc(Nc2ccc(CC(=O)O)cc2)nc(N)n1,0.7226,0.5667,BUCB
,,10,3,5,CCc1cccc(-c2sc(NCc3ccc(C(N)=O)cc3)nc2-c2ccc3c(c2)OCO3)n1,0.7073,0.4845,BUCB
,,10,4,5,COc1ccc(NC(=O)CCn2cnc3onc(-c4ccc(F)cc4)c3c2=O)cc1OC,0.6904,0.5596,BUCB
,,10,5,5,COCCNc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,0.6732,0.4943,BUCB
,,11,1,5,Nc1nc(=O)c2cc(NCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,0.7433,0.5846,BUCB
,,11,2,5,Cc1c(CNc2ccc(C(=O)O)cc2)ccc2nc(N)nc(N)c12,0.7371,0.5369,BUCB
,,11,3,5,COc1ccc(Cl)cc1NC(=O)Cn1nnc(C(=O)NCc2ccc3c(c2)OCO3)c1N,0.7194,0.5084,BUCB
,,11,4,5,COc1ccc(-c2nc3ccc(NCc4cc(OC)on4)nc3n(CCNC(C)=O)c2=O)cc1,0.7029,0.5601,BUCB
,,11,5,5,COC(=O)c1ccc(CN(CCc2c(N)nc(N)nc2O)c2cc(F)ccc2[N+](=O)[O-])cc1,0.7124,0.5757,BUCB
,,12,1,5,CCOP(=O)(O)CCC(NC(=O)c1ccc(NCc2cnc3nc(N)nc(O)c3c2)cc1)C(=O)O,0.7541,0.5896,BUCB
,,12,2,5,Nc1nc(SCC(=O)NCc2ccc(F)cc2)nc(O)c1NC(=O)c1ccc(Cl)cc1,0.7354,0.5116,BUCB
,,12,3,5,COCCOc1nc(-c2ccc3c(c2)OCO3)n(-c2ccc(NC(=O)CCl)cc2)n1,0.7186,0.5775,BUCB
,,12,4,5,Nc1nc(N)c2nc(CNc3ccc(S(=O)(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,0.7296,0.5167,BUCB
,,12,5,5,COc1ccc(-c2c(C(=O)O)c(C(N)=O)cc3ccc4c(c23)OCO4)cc1OC,0.7004,0.5372,BUCB
,,13,1,5,NCCCC(NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3c2)cc1)C(=O)O,0.7686,0.5791,BUCB
,,13,2,5,COc1ccc(-c2nnc(SCC(=O)Nc3ccc4c(c3)OCCO4)n2N)cc1OC,0.7245,0.5167,BUCB
