Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f
1,0.4,0,1,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5ncc6ccccc65)C4)cc23)ccn1,0.8154,0.5822
1,0.4,0,2,5,CCCN(CCC)C(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(O)CNC2CCc3ccccc32)c1,0.7529,0.5325
1,0.4,0,3,5,COc1ccc2[nH]cc(C(=O)C(=O)NC(Cc3ccccc3)C(=O)O)c2c1,0.7528,0.5623
1,0.4,0,4,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCC3CC3)C2(Cc2ccccc2)C2C1=CCC1C(=O)N(C)C(=O)C12,0.7404,0.5828
1,0.4,0,5,5,COCCNC(=O)c1ccccc1NS(=O)(=O)c1ccc2c(c1)OCCO2,0.736,0.586
1,0.4,1,1,5,CCc1cc(=O)oc2cc(OCC(=O)NC(Cc3ccccc3)C(=O)O)ccc12,0.8082,0.5984
1,0.4,1,2,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCC(C(=O)N(C)C)N(Cc5ccccc5F)C4)cc23)ccn1,0.8044,0.6367
1,0.4,1,3,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCc3ccccc3)C2(C)C2C1=CCC1C(=O)N(c3ccccc3)C(=O)C12,0.792,0.3752
1,0.4,1,4,5,COC(=O)c1ccccc1NC(=O)c1ccc2c(c1)OCCO2,0.7891,0.3699
1,0.4,1,5,5,COc1cccc(-c2ccc(CC(CC(=O)NO)C(=O)NC3c4ccccc4CC3O)cc2)c1,0.7896,0.6638
1,0.4,2,1,5,CCN(CC)C(=O)C1CCC(N=C(O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CN1Cc1c(F)cccc1OC,0.8429,0.4965
1,0.4,2,2,5,O=C(CC(Cc1ccc2c(c1)OCO2)C(=O)NC1c2ccccc2CC1O)NO,0.8406,0.6123
1,0.4,2,3,5,COc1ccc(-c2cc(NC(=O)NC(Cc3ccccc3)C(=O)O)c(C(=O)O)s2)cc1,0.8414,0.5751
1,0.4,2,4,5,CCN(c1ccccc1)S(=O)(=O)c1ccc2ncc(C(=O)NCCOC)c(O)c2c1,0.8164,0.6012
1,0.4,2,5,5,CCC1=C2CCC3C(=O)N(C)C(=O)C3C2C2(Cc3ccccc3)C(=NCC(=O)OC)OC(=O)N2C1=O,0.7863,0.5645
1,0.4,3,1,5,CNc1ccc(S(=O)(=O)NCC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)cc1,0.8586,0.6476
