Trial,Beta,Iteration,Selected SMILES,UCB,True f
1,1.0,0,Cc1cccc(N2CCN(C(=O)Nc3cnn(CC(N)=O)c3)CC2)c1,1.263,0.5625
1,1.0,1,COC(=O)c1ccc(NC(=O)N2CCN(Cc3cnc4ccccc4c3)CC2)cc1,1.28,0.4786
1,1.0,2,CC(=O)c1ccc(NC(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1,1.281,0.004538
1,1.0,3,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21,1.264,0.5736
1,1.0,4,CCOC(=O)C1CCCN(C2CC(=O)N(c3cccc(C)c3)C2=O)C1,1.275,0.2597
1,1.0,5,COC(=O)NCc1cc(-c2sc(-c3ccccc3)nc2N2CCC(O)CC2)[nH]n1,1.264,0.626
1,1.0,6,CCOC(=O)C1CCN(c2ncc(NS(=O)(=O)c3ccccc3)cc2C(=O)O)CC1,1.285,0.6189
1,1.0,7,CCOC(=O)c1cc(C#N)c(N2CCCC2)nc1-c1ccccc1,1.298,0.2391
1,1.0,8,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(NC(=O)OC)cc4)CC3)cc21,1.292,0.6265
1,1.0,9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NC(=O)C3CCC(COc4ccccc4)CC3)c(F)c21,1.312,0.5666
1,1.0,10,NC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC1,1.311,0.638
1,1.0,11,Nc1cc2c(=O)c(C(=O)O)cn(C3CC3)c2cc1N1CCN(c2ccccn2)CC1,1.336,0.6498
1,1.0,12,O=C(NCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cnccn1,1.356,0.6494
1,1.0,13,CC1(CN)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1.357,0.5932
1,1.0,14,NC(Cc1ccccc1)C(=O)NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1.357,0.627
1,1.0,15,CC(OC(=O)C(C)NC(=O)c1ccccc1)OC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.364,0.6229
1,1.0,16,O=C(CSc1nnc(N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)s1)c1ccc(F)cc1,1.365,0.5883
