BO Iteration,Selected SMILES,UCB,True f
0,COc1ccc(-c2c(C(=O)O)c(C(N)=O)cc3ccc4c(c23)OCO4)cc1OC,0.5064,0.5372
1,COc1ccc(-c2nnc(SCC(=O)NC(C)c3ccccc3)o2)cc1OC,0.4883,0.5273
2,CCOc1ccc(-c2nnc(SCC(=O)Nc3cc(OC)ccc3OC)[nH]2)cc1,0.4941,0.5119
3,CCOc1ccc(OCC)c(NC(=O)CSc2nnc(-c3cccnc3)o2)c1,0.4935,0.5059
4,CCOC(=O)c1cnc2ccc(OC)cc2c1NCCc1ccccc1,0.496,0.1347
5,CCOc1ccc(-c2nnc(NC(=O)CCCOc3cccc(C)c3)o2)cc1,0.4824,0.556
6,CCCCNC(=O)CSCc1nc(-c2ccc(OCC)cc2)oc1C,0.5015,0.1836
7,COc1ccc(CNC(=O)C2(C)Cc3c(-c4ccc5c(c4)OCO5)ccnc3O2)cc1OC,0.4808,0.5604
8,COc1ccc(Cl)cc1NC(=O)COc1ccc2c(c1)OCO2,0.5053,0.1975
9,COc1ccc(-c2csc(N)c2C(=O)NCc2ccncc2)cc1OC,0.4901,0.5082
10,COc1ccc(CNC(=O)c2ccc3ccccc3n2)cc1OC,0.4881,0.1289
11,COc1ccc(NC(=O)C2=CC(c3ccc4c(c3)OCO4)=NS(=O)(=O)N2C)cc1,0.4715,0.5195
12,Cc1ccc(S(=O)(=O)NC(=O)Nc2nnc(-c3ccc4c(c3)OCO4)c(N)n2)cc1,0.4866,0.4565
13,COc1ccc(C2CC(c3ccc4c(c3)OCO4)=NN2C(C)=O)cc1,0.4844,0.1298
14,CCN(CC)S(=O)(=O)c1ccc(-c2nnc(SCC(=O)Nc3nc(C)cs3)o2)cc1,0.4753,0.4927
15,CCOc1ccc(Nc2nc(Cc3nnc(SCC(=O)c4ccc(C)c(C)c4)o3)cs2)cc1,0.4841,0.2997
16,COc1cc(-c2nnc(SCC(=O)Nc3ccc(C(C)=O)cc3)n2-c2ccccc2)cc(OC)c1OC,0.4709,0.4758
17,CC(C)c1ccc(NC(=O)C2(C)Cc3c(-c4cccc(C(F)(F)F)c4)ccnc3O2)cc1,0.4752,0.02081
18,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(C(=O)N(C)CCOC)cc3)sc12,0.4772,0.5388
19,COc1ccc(NC(=O)CCNS(=O)(=O)c2ccc(C(=N)N)cc2)cc1OC,0.4833,0.5362
20,COc1ccc(CNS(=O)(=O)c2ccc(C(=N)N)cc2)cc1OC,0.4984,0.5049
21,COc1ccc(C(=O)CCS(=O)(=O)c2ccc(F)cc2)cc1OC,0.4919,0.2626
22,CCOc1ccc(OCC)c(NC(=O)CN(C)S(=O)(=O)c2ccc3nc(C)sc3c2)c1,0.4841,0.523
23,CCN(CC)S(=O)(=O)c1ccc2oc(C(=O)Nc3cc(C)ccc3OC)c(C)c2c1,0.488,0.519
24,COC(=O)c1cc(OC)c(OC)cc1NCC(=O)Nc1ccc(C)cc1,0.4885,0.5008
25,COc1cc(C(=O)Nc2ccc(C(N)=O)cc2)c([N+](=O)[O-])cc1OC,0.5054,0.5134
26,COc1ccc2nc(SCC(=O)Nc3cc(OC)c(OC)cc3C(=O)O)c(C)cc2c1,0.5065,0.5303
27,CCOC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(O)c(N)c1,0.5223,0.5176
28,COc1cc(C(=O)NCCC(=O)NCc2ccc3c(c2)OCO3)cc(OC)c1OC,0.5048,0.5523
29,COc1cc(C(=O)NCCCNc2ccc([N+](=O)[O-])cc2)cc(OC)c1OC,0.52,0.5745
30,COc1ccc(-c2c(-c3cc(OC)c(OC)c(OC)c3)coc2C=NNC(=O)CCCC(=O)O)cc1,0.5315,0.5675
31,COc1ccc(NC(=O)c2nnn(Cc3nc(-c4cc(OC)c(OC)c(OC)c4)oc3C)c2C)cc1,0.5353,0.4928
32,COc1cc(NCCCn2cnc(C(=O)Nc3ccc(C)c(C)c3)n2)cc(OC)c1OC,0.5313,0.5746
33,COc1cc(NC(=O)c2cc3cc([N+](=O)[O-])ccc3[nH]2)cc(OC)c1OC,0.5457,0.5126
34,COc1cc(C(=O)NNC(=O)c2ccc(Cl)c(Cl)c2)cc(OC)c1OC,0.5396,0.4289
