BO Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
0,C=C=C,0.0,1.223,0.25,0.819,0.0499,0.316,0.6241,-14.219,3.628
1,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.0,0.9402,0.1768,0.819,0.0499,0.3188,0.6241,-14.222,3.515
2,ClC(Br)Br,0.0,0.8036,0.1443,0.819,0.0499,0.3204,0.624,-14.225,3.348
3,O=CC=O,0.0007694,0.7395,0.125,0.819,0.0499,0.32,0.624,-14.229,3.246
4,S=C(S)[N-]C[N-]C(=S)S,0.000235,0.6883,0.1118,0.8189,0.0498,0.32,0.6239,-14.237,3.224
5,[O-][Cl+]O,0.0,0.6513,0.1021,0.8189,0.0498,0.3194,0.6239,-14.242,3.226
6,O=S1(=O)NCNc2c(Cl)sc(Cl)c21,0.04732,0.6266,0.0945,0.8189,0.0498,0.3194,0.6239,-14.243,3.071
7,CCCCCCCCCCCCCCCCCCS(=O)(=O)CC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,0.1796,0.6079,0.0884,0.8189,0.0497,0.3194,0.6238,-14.272,3.079
8,CC(=O)OCC1(OC2OC(CNC(=O)N(C)N=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)OC(CNC(=O)N(C)N=O)C(OC(C)=O)C1OC(C)=O,0.3918,0.5888,0.0833,0.8172,0.0498,0.3192,0.6245,-14.209,3.015
9,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(O)=C(C(C)=NC(CCC(=O)O)C(=O)O)C(=O)C12C,0.5356,0.5931,0.0791,0.8169,0.0496,0.3199,0.6317,-14.268,3.016
10,C=C1C(O)CC2C(C(=O)O)=COC(OC3OC(COC(=O)C=Cc4ccc(O)c(O)c4)C(O)C(O)C3OC(=O)c3ccc(O)cc3)C12,0.5747,0.6064,0.0754,0.8164,0.0491,0.3179,0.647,-14.403,3.057
11,CCOC(=O)c1sc(N)nc1-c1ccc(P(=O)(NC(CC)C(=O)OCC)NC(CC)C(=O)OCC)o1,0.4719,0.6143,0.0722,0.8159,0.0489,0.3155,0.6613,-14.449,3.079
12,COC1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCF)=C(CC(C)CC(OC)C(OC(=O)CN)C(C)C=C(C)C1OC(N)=O)C2=O,0.5339,0.6243,0.0693,0.8155,0.0486,0.3137,0.671,-14.521,3.103
13,COC(=O)C(Cc1ccc(O)cc1)NP(=O)(OCCSC(=O)C(C)(C)C)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1N=[N+]=[N-],0.559,0.6446,0.0668,0.8153,0.0487,0.3139,0.6764,-14.484,3.1
14,C=CCONC(=O)OC1C(O)C(Oc2ccc3c(=O)c(C(=O)OCC)c(O)oc3c2C)OC(C)(C)C1OC,0.4998,0.652,0.0645,0.815,0.0488,0.3136,0.6905,-14.468,3.106
15,CCOC(=O)c1c(-c2ccc(OC)cc2)nc(=O)n(Cc2ccc(C(=O)C=C(O)C(=O)OC(C)C)cc2)c1C(C)C,0.4919,0.6488,0.0625,0.8147,0.0486,0.3126,0.6937,-14.512,3.121
16,NC(=O)OCC1=C(COC(N)=O)C(=O)c2c(O)ccc(O)c2C1=O,0.4637,0.6521,0.0606,0.8131,0.0489,0.3113,0.7021,-14.396,3.137
17,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(NC(=O)C(CC(C)C)NC(=O)C(C)N)C(O)C(C)O1,0.5524,0.6612,0.0589,0.8129,0.0488,0.3098,0.7098,-14.424,3.148
