iter,idx_in_batch,Selected SMILES,ucb,mu,std,True f
1,0,CC(CCCO)(COC(N)=O)COC(N)=O,0.38706591725349426,0.07294607907533646,0.9940500855445862,0.3897358342686835
2,1,NN1C(=O)CSC1=S,0.376350462436676,0.06214974820613861,0.9943059682846069,0.009812241015163557
3,2,CCC(NC(CC(C)C)C(=O)NC1CCCCNCCCCCNC1=O)P(=O)(O)O,0.4027564525604248,0.09021680057048798,0.98904949426651,0.5072909057949033
4,3,Nc1nc(NCCCCCNc2nc(N)nc3c2ncn3C2OC(CO)C(O)C2O)c2ncn(C3OC(CO)C(O)C3O)c2n1,0.3883070945739746,0.07502762973308563,0.9913906455039978,0.5019244416421433
5,4,O=[N+]([O-])c1nccn1CC(O)CC=CI,0.38084423542022705,0.06680886447429657,0.9937827587127686,0.39146199901083345
6,0,O=C(NC(CO)C(=O)O)c1nc(NCC(O)CO)c(C(=O)NC(CO)C(=O)O)nc1NCC(O)CO,0.49902015924453735,0.18940463662147522,0.9797959327697754,0.47252024287677463
7,1,CC(C)OP(=O)(O)COCCn1cnc2c(N)ncnc21,0.504632294178009,0.19621163606643677,0.9760146737098694,0.4214128303275062
8,2,CC(=O)NC1C(OC2CCCCC2)OC(CO)C(O)C1O,0.5013426542282104,0.19385334849357605,0.9730672836303711,0.48935845514610793
9,3,NCCCCC(C(=O)NCCCCCCCCCCC(=O)N1CCNCC1)n1cc(CCO)nn1,0.4836082458496094,0.17325164377689362,0.9821411371231079,0.5371370567792133
10,4,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)C(CC(N)=O)NC1=O,0.49435484409332275,0.18667519092559814,0.973669707775116,0.4993556693892963
11,0,CCCCCCCC(=O)OCC(O)C(OC)C1OC(C(=O)O)=CC(NC(=N)N)C1NC(C)=O,0.5991681814193726,0.29470860958099365,0.9634796977043152,0.5157106564836024
