Trial,Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
3,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,2.237,0.5,0.8294,0.0431,0.2824,0.6743,-12.947,3.839
3,1,C=C=C,0.0,1.925,0.4268,0.8293,0.0431,0.2748,0.6743,-12.935,3.763
3,2,ClC(Br)Br,0.0,1.792,0.3943,0.8293,0.0431,0.2748,0.6743,-12.938,3.714
3,3,[O-][Cl+]O,0.0,1.699,0.375,0.8293,0.0431,0.2748,0.6743,-12.946,3.671
3,4,OCC1OC(O)C(O)C(CCCCCCCCCCCCCCCCCCCCC2C(O)C(O)OC(CO)C2O)C1O,0.4304,1.61,0.3618,0.8293,0.0431,0.2746,0.6743,-12.947,3.548
3,5,S=C(S)[N-]C[N-]C(=S)S,0.000235,1.562,0.3521,0.8281,0.0424,0.2763,0.6755,-13.135,3.476
3,6,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.0,1.522,0.3445,0.8281,0.0424,0.2763,0.6752,-13.14,3.464
3,7,N#CCCN(CCC#N)N=O,0.2496,1.458,0.3384,0.8281,0.0424,0.2763,0.6752,-13.141,3.265
3,8,O=P(O)(O)OCC(Cl)(Cl)Cl,0.07973,1.444,0.3333,0.828,0.0423,0.278,0.677,-13.171,3.244
3,9,S=C1NCCN1,0.0001245,1.426,0.3291,0.8279,0.0421,0.2786,0.6772,-13.223,3.248
3,10,c1ncc(C23C4C5C6C4C2C6C53)[nH]1,0.0006811,1.403,0.3254,0.8279,0.0421,0.2786,0.6772,-13.234,3.213
3,11,O=CC=O,0.0007694,1.393,0.3222,0.8278,0.042,0.2788,0.677,-13.244,3.216
3,12,CC(C)=CC(O)C#CC#CC(O)C(C)O,0.06766,1.378,0.3193,0.8278,0.042,0.2778,0.6769,-13.249,3.175
3,13,C1=CSSC=CSS1,3.435e-07,1.367,0.3168,0.8278,0.0419,0.2778,0.6769,-13.269,3.181
3,14,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(N)=O,0.008447,1.354,0.3145,0.8278,0.0419,0.2779,0.6769,-13.27,3.097
3,15,O=S1(=O)OCCOS(=O)(=O)C1(F)Br,0.2077,1.316,0.3125,0.8276,0.0422,0.2342,0.676,-13.857,3.048
3,16,C1CCC2(CC1)OOC1(CCCCC1)OOC1(CCCCC1)OO2,0.04223,1.304,0.3106,0.8275,0.0422,0.2342,0.677,-13.86,3.049
3,17,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,0.001055,1.298,0.3089,0.8274,0.042,0.2342,0.677,-13.906,3.063
3,18,C#CCOc1nc(OCC#C)nc(OCC#C)n1,0.1006,1.263,0.3074,0.8274,0.042,0.2342,0.677,-13.909,2.893
3,19,CC[S+]([O-])CC,0.0001259,1.248,0.3059,0.8274,0.042,0.2342,0.6771,-13.915,2.895
3,20,O=NN1CC=CC1,0.001052,1.243,0.3046,0.8274,0.0419,0.2341,0.6769,-13.934,2.821
3,21,[N-]=[N+]=NCC1OC(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,0.2422,1.231,0.3033,0.8273,0.0419,0.2341,0.6764,-13.937,2.822
3,22,CC1(C)OCC(C2OC3OC(C)(C)OC3C2OC(=S)SSC(=S)OC2C(C3COC(C)(C)O3)OC3OC(C)(C)OC32)O1,0.3237,1.229,0.3021,0.8273,0.0419,0.2348,0.6771,-13.945,2.824
3,23,CN=C1C(Cl)=C(O)OC1O,0.08007,1.223,0.301,0.8272,0.0418,0.2346,0.6779,-13.978,2.833
3,24,CC(=NN=C(N)N)C(=O)O,0.284,1.215,0.3,0.8272,0.0417,0.2345,0.6779,-14.008,2.774
3,25,CSCC(NC(=O)C(CSSCC(NC(=O)CCCC(N)C(=O)O)C(=O)NC(CSC)C(=O)O)NC(=O)CCCC(N)C(=O)O)C(=O)O,0.4795,1.225,0.299,0.827,0.0415,0.2336,0.6812,-14.06,2.788
3,26,CC(C)(C)N=C1SCC(C)(C=NO)S1,0.008599,1.217,0.2981,0.8266,0.0415,0.2434,0.6889,-14.053,2.798
3,27,Nc1ncnc2c1ncn2CCOCP(=O)(O)OCCOCCOCCOCCOCCOCCO,0.4773,1.214,0.2972,0.8266,0.0415,0.2429,0.689,-14.062,2.801
3,28,NCCC1CN=CN1,0.02108,1.217,0.2964,0.8263,0.0414,0.2506,0.6929,-14.093,2.815
3,29,O=c1sc2c(s1)SSSSS2,3.006e-05,1.207,0.2956,0.8263,0.0414,0.251,0.6926,-14.1,2.817
3,30,Nc1nc2c(c(=O)[nH]1)NC1C(N2)OC2COP(=O)(O)OC2C1(O)O,0.3815,1.198,0.2949,0.8263,0.0414,0.251,0.6924,-14.101,2.817
3,31,N=C(N)N1CC2C3CCC(C4CCC43)C2C1,0.04241,1.191,0.2942,0.8263,0.0413,0.2506,0.6941,-14.13,2.825
3,32,,,,0.2935,0.8261,0.0411,0.2509,0.6939,-14.193,2.841
