Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
3,0.25,0,1,5,C1CCCCCCNCCCCC1,0.3685,1.478e-05
3,0.25,0,2,5,CN(C(=O)C12C3C4C5C3C1(C(=O)C13C6C7C8C6C1C8C73)C5C42)C(C)(C)C,0.4035,0.003473
3,0.25,0,3,5,[N-]=[N+]=NCC1OC(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,0.3887,0.2422
3,0.25,0,4,5,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC=NNC(=S)NC(=S)NN=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.4124,1.753e-05
3,0.25,0,5,5,OC(C1CCC=NN1C(O)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.3945,0.04854
3,0.25,1,1,5,N#CCNCC#N,0.3538,0.02962
3,0.25,1,2,5,O=C1NC2NC(=O)N([N+](=O)[O-])C2N1,0.4005,0.2553
3,0.25,1,3,5,COc1c(Br)c2c(c(OC)c1OC)-c1c(c(Br)c3c(c1OC)OCO3)CC(C)C(C)C2,0.4345,0.0281
3,0.25,1,4,5,Nc1nc(NCCCCCNc2nc(N)nc3c2ncn3C2OC(CO)C(O)C2O)c2ncn(C3OC(CO)C(O)C3O)c2n1,0.4387,0.5019
3,0.25,1,5,5,CC(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)O)C(C)C,0.4528,0.4675
3,0.25,2,1,5,CCCCCCCCCCCCCCCCCCS(=O)(=O)NCCCNCCCNCCCCCCNCCCNCCCNS(=O)(=O)CCCCCCCCCCCCCCCCCC,0.382,7.497e-07
3,0.25,2,2,5,NC(N)=NCCC(O)(P(=O)(O)O)P(=O)(O)O,0.4149,0.3496
3,0.25,2,3,5,Nc1nc(O)c2[nH]cc(CC3CCCSS3)c2n1,0.4836,0.4712
3,0.25,2,4,5,Cn1c(=O)c2c(nc(NCCNc3nc4c(c(=O)n(C)c(=O)n4C)n3C)n2C)n(C)c1=O,0.4995,0.382
3,0.25,2,5,5,CC(O)CCC1CCC2C(O)C(O)C(CO)N12,0.4903,0.4464
3,0.25,3,1,5,O=S1(=O)OCCOS(=O)(=O)C1F,0.4152,0.1659
3,0.25,3,2,5,OCCN1CN(c2nc(N3CN(CCO)C3)nc(N3CN(CCO)C3)n2)C1,0.5002,0.4478
3,0.25,3,3,5,Nc1nc(C(=NOCCSc2nnc(-c3cc(O)c(O)cn3)o2)C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4cnns4)CSC23)cs1,0.5604,0.5061
3,0.25,3,4,5,O=C1C2=C3C4=[N+](CCc5c[nH]c1c54)C1C(O)CC(=O)C3(CC(O)N2)C1O,0.5379,0.5079
3,0.25,3,5,5,CC(O)C(N)C(=O)OCC1SC(CC=O)SC1COC(=O)C(N)C(C)O,0.5079,0.4401
3,0.25,4,1,5,NNc1nnc(S)n1N,0.423,0.1366
3,0.25,4,2,5,COCCN=c1[nH]c(=NC2CC2)n2ncc(C=C3N=C(O)N=C3O)c2[nH]1,0.5744,0.4981
3,0.25,4,3,5,N=C(N)NCCCC1NC(=O)C(CO)NC(=O)C[S+]([O-])CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)CNC1=O,0.6047,0.4789
3,0.25,4,4,5,Nc1c(F)c(N2CC3CCCC(N)C3C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1F,0.6113,0.5337
3,0.25,4,5,5,OCc1cc(-c2nc(C(O)C(O)C(O)CO)c[nH]2)no1,0.5487,0.496
3,0.25,5,1,5,NCCC1CN=CN1,0.4671,0.02108
3,0.25,5,2,5,Cc1cn(C2CC(OP(=O)(O)OCC3OC(n4c[n+]([BH2-]C#N)c5c(=O)[nH]c(N)nc54)CC3O)C(CO)O2)c(=O)[nH]c1=O,0.6631,0.5009
3,0.25,5,3,5,Cc1noc(-c2c(N=C(O)C3=C(C(=O)O)C4CCC3CC4)sc(C)c2C2CC2)n1,0.6353,0.4267
3,0.25,5,4,5,NC(CCn1c2c(c(=O)n(CCC(N)C(=O)O)c1=O)CCC2)C(=O)O,0.6499,0.5066
3,0.25,5,5,5,O=C1c2c(c3c4ccc(O)cc4n(C4OC(C(O)CO)C(O)C4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,0.6349,0.5397
3,0.25,6,1,5,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CCC2)C1O5,0.5268,0.5981
3,0.25,6,2,5,CC1CN2c3c(cc4c(N5C(=O)OCC5C(O)CO)noc4c3F)CC3(C(O)=NC(=O)N=C3O)C2C(C)O1,0.6897,0.518
3,0.25,6,3,5,Cc1c(CC(O)(CO)CO)n(C)c(=O)[nH]c1=O,0.6488,0.4152
3,0.25,6,4,5,NC(CCO)C(O)=NCC1CCc2c(sc3ncnc(Nc4ccc5nc(O)sc5c4)c23)C1,0.6665,0.5954
3,0.25,6,5,5,C#CCOC(=O)Nc1nc(=O)n(C2OC(C(=O)O)C(O)C2O)cc1F,0.6654,0.4204
3,0.25,7,1,5,Nc1ncnc2c1ncn2CCOCP(=O)(OCCSSCCO)OCCSSCCO,0.5659,0.4508
3,0.25,7,2,5,COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C1(CCc2c1c(O)c1c(O)nc(C=NOCCN4CCOCC4)cc1c2Br)C3=O,0.6506,0.5507
3,0.25,7,3,5,O=[N+]([O-])c1cc2nc(O)c(O)nc2cc1CN1CCCC1CO,0.7341,0.6217
3,0.25,7,4,5,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(NCC(O)CN)C3=O)N1CC1NC12,0.6817,0.4796
3,0.25,7,5,5,CC1CC(C)CC(C)C(O)C(C#N)=CC=CCC(C2CCCC2C(=O)NC(CO)C(=O)O)OC(=O)CC(O)C(C)C1,0.658,0.5895
3,0.25,8,1,5,O=[N+]([O-])C1=C(O)CCCC1=NCCCCCCN=C1CCCC(O)=C1[N+](=O)[O-],0.6265,0.5358
3,0.25,8,2,5,CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1-c1nc(C2CC2)n[nH]1)CO,0.7239,0.5348
3,0.25,8,3,5,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)S(=O)(=O)c1cn(C)cn1,0.6862,0.5345
3,0.25,8,4,5,O=C(O)CC1(CC(=O)O)CC2(O)C3Cc4ccc(O)cc4C2(CCN3CC2CC2)CC1=O,0.7671,0.6511
3,0.25,8,5,5,C=CCn1c(=O)n(C2OC(CO)C3OC(=O)OC32)c2nc(N)nc(O)c21,0.7219,0.4312
3,0.25,9,1,5,CCCN1C(=O)N2CC(CC(C)C)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,0.686,0.4959
3,0.25,9,2,5,COCCNc1cc(=NC(=O)N2CCCc3cc(CN4CCC(O)C4=O)c(C=O)nc32)[nH]cc1C#N,0.7811,0.5884
3,0.25,9,3,5,C=C(C(=O)OC1CC(C)=C(O)CCC(CO)=CC2OC(=O)C(=C)C21)C(O)COC(C)=O,0.7487,0.526
3,0.25,9,4,5,CC12CCC3c4ccc(OCCCOCC5OC(n6cnc7c(N)ncnc76)C(O)C5O)c([N+](=O)[O-])c4CCC3C1CCC2=O,0.7802,0.6328
3,0.25,9,5,5,O=C(NC(CO)C(=O)O)c1nc(NCC(O)CO)c(C(=O)NC(CO)C(=O)O)nc1NCC(O)CO,0.6773,0.4725
3,0.25,10,1,5,CC1=CC(OC(=O)COCCOCCO)C(=O)C=CC=Cc2csc(n2)C(C)NC(=O)CC2(CC1)[S+]([O-])SC(=O)C2(C)O,0.7278,0.6145
3,0.25,10,2,5,NC1Cc2c3n(c4cc(O)c(O)cc24)C(=O)CC2CCCC1C32,0.7578,0.5834
3,0.25,10,3,5,CC(=O)NCCCNC(=O)C12CC1C(n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)C(O)C2O,0.7666,0.5455
3,0.25,10,4,5,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCO)CC4)cc4c3OCCO4)nc12,0.7463,0.5477
3,0.25,10,5,5,CC(C)CCNc1cc(F)c2c(c1O)C(=O)C1=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3CC1C2,0.7637,0.5296
3,0.25,11,1,5,NC(=O)c1nc(C#CC2(O)CCCCC2)n(COCCO)n1,0.7053,0.494
3,0.25,11,2,5,CC(C)C=CCC1CN(C2CCCC2)C(O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O,0.7592,0.6315
3,0.25,11,3,5,Cc1cc2c(O)c(c1)CN(CC(=O)O)Cc1cc(C)cc(c1O)CN(CC(=O)O)Cc1cc(C)cc(c1O)CN(CC(=O)O)C2,0.7296,0.5259
3,0.25,11,4,5,CCCSc1nc(NC2CC2c2scnc2C)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,0.7366,0.4888
3,0.25,11,5,5,CC1(C)CCC2CC(=O)OC(CO)CC(=O)OC3CC(CCCCc4cc(O)c(Br)cc4Br)OC1(C3)O2,0.7528,0.4423
3,0.25,12,1,5,CCC(C=CC=CC=CC(=O)c1c(O)c(C2(O)CCC(O)CC2)c[nH]c1=O)CO,0.7462,0.6761
3,0.25,12,2,5,CCOC(=O)C1CCCCN1CC(=O)Nc1nc2cc3nc(NC(=O)CN4CCCCC4C(=O)OCC)sc3cc2s1,0.7509,0.5479
3,0.25,12,3,5,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc2c(c1)CN(C(CCC(=O)O)C(=O)O)C2=O,0.7691,0.584
3,0.25,12,4,5,CC(O)C1C(=O)N2C(C(=O)O)=C3C(OCCCO)CCCC3C12,0.8076,0.5552
3,0.25,12,5,5,CC1C=CC(=O)C(O)C(O)CC=Cc2cc(NCCN3CCN(C)CC3)cc(O)c2C(=O)OC1C,0.7822,0.6888
3,0.25,13,1,5,CC12CSC(=N1)c1csc(n1)CNC(=O)CC(C=CCCS)OC(=O)C(CC(=O)O)NC2=O,0.7514,0.5264
3,0.25,13,2,5,CCC1CN2CCc3cc(O)c(OC)cc3C2CC1CC1(O)NCCc2cc(O)c(OC)cc21,0.7637,0.6701
3,0.25,13,3,5,CNc1nc2c(cc(C(=O)N(C)C3CC3)n2CC(O)CO)c2c1ncn2C,0.8116,0.5463
3,0.25,13,4,5,C=C1C(O)C(CO)OC1n1ccc(NC(=O)OC(C(C)C)C(NC(=O)C(N)CC2CCCCC2)C(=O)O)nc1=O,0.8363,0.5388
3,0.25,13,5,5,O=C1C2=NCCCN(CCP(=O)(O)O)C2=C1O,0.7317,0.487
3,0.25,14,1,5,CCC(NS(=O)(=O)c1c(C)nc(O)nc1O)C12CC3CC(CC(C3)C1)C2,0.7504,0.4957
3,0.25,14,2,5,O=C(C(CO)CO)N1CC=C(c2c(F)cc(N3CC(COc4ccon4)OC3=O)cc2F)CC1,0.7859,0.5964
3,0.25,14,3,5,CCN1CCCC1CNc1cc(NC2CC2)n2ncc(C=C3SC(=O)N=C3O)c2n1,0.8156,0.5934
