round,pick_idx,smiles,mu,std,UCB,True f,min_d_batch,min_d_hist
0,1,CCOC(=O)N1CCN(C(=O)c2ccccc2Oc2ccccc2)CC1,0.3974212408065796,0.8910971879959106,1.2885184288024902,0.14178450577204707,1.0,0.6447368421052632
0,2,CCN(CC)S(=O)(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)ccc1C,0.3819308280944824,0.8996618986129761,1.2815927267074585,0.5812757782085961,0.8026315789473684,0.6442953020134228
0,3,c1cnc(-c2ccc3[nH]cc(-c4ccc(N5CCNCC5)cc4)c3c2)cn1,0.3241555690765381,0.9310142993927002,1.2551698684692383,0.10291489701057313,0.8662790697674418,0.75
0,4,CC(CNC(=O)CCS(=O)(=O)c1cc2c(cc1Cl)NC(=O)CO2)c1ccccc1,0.3325391411781311,0.9171559810638428,1.249695062637329,0.5666537388614914,0.7911392405063291,0.7142857142857143
0,5,COCC(O)=Nc1cccc(CN=c2[nH]nc(-c3ccc4[nH]cc(-c5ccccc5F)c4c3)s2)c1,0.31722328066825867,0.9253538846969604,1.2425771951675415,0.3300364530922646,0.7684210526315789,0.7102272727272727
1,1,COC(=O)c1ccccc1NC(=O)CCS(=O)(=O)c1cc2c(cc1C)NC(=O)CO2,0.4812711179256439,0.8307315707206726,1.3120026588439941,0.5334151524845459,1.0,0.5524475524475525
1,2,CC(c1ccccc1)N1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O,0.40175703167915344,0.8868472576141357,1.2886042594909668,0.5180414984539933,0.8,0.6745562130177515
1,3,CCCCOc1cc(N(CC)c2ccc(C(=O)O)cn2)ccc1C(C)C,0.30329909920692444,0.9331835508346558,1.2364826202392578,0.14019408853879417,0.8411764705882353,0.7676056338028169
1,4,CC(CO)NS(=O)(=O)c1ccccc1-c1ccc(-c2n[nH]c(=N)s2)c(F)c1,0.34137651324272156,0.9173334240913391,1.2587099075317383,0.5339384200201432,0.8058823529411765,0.7615894039735099
1,5,Nc1nc(N)c2nc(CN3CCOc4cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc43)cnc2n1,0.26399746537208557,0.9574577212333679,1.2214552164077759,0.5703502425224217,0.8480392156862745,0.8307692307692307
