round,pick_idx,smiles,mu,std,UCB,True f
0,1,Cc1nc2ccccc2n(CC(=O)NNC(=O)c2ccccc2)c1=O,0.3071872591972351,0.8537746667861938,0.9108970761299133,0.43994134506405985
0,2,COc1ccc(NC(=O)CCn2cnc3onc(-c4ccc(F)cc4)c3c2=O)cc1OC,0.2387097179889679,0.920792818069458,0.8898085355758667,0.1465161286741825
0,3,COc1cc(N(CC2CC2)c2ccc(C)c3ccccc23)cnc1C(=O)C1CC1C(=O)O,0.2195911407470703,0.9377695322036743,0.8826943039894104,0.008396175893327106
0,4,Cc1cc2c(C)n(Cc3ccccc3Cl)nc2c(C(=O)O)c1C,0.21907176077365875,0.9244730472564697,0.8727728724479675,0.5
0,5,O=C1CC2C(O)CCCN2C(n2cnc3ccccc3c2=O)C1,0.19137699902057648,0.9468621015548706,0.8609095811843872,0.1351278000318504
1,1,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1C,0.3110477924346924,0.8751844167709351,0.9298965930938721,0.4373835248681493
1,2,Cc1cc2c(c(C(N)=O)c1C)-c1ccccc1C2=O,0.24061419069766998,0.9181856513023376,0.8898694515228271,0.47809144373375745
1,3,Cc1nc2ccn(C(C)C)c(=O)c2cc1C(=O)O,0.21698415279388428,0.9395688772201538,0.8813596367835999,0.14595470552545528
1,4,O=C(Cn1c(=O)oc2cc(S(=O)(=O)NCc3ccccc3)ccc21)Nc1ccc(F)c(Cl)c1,0.2255772054195404,0.9241897463798523,0.8790780305862427,0.15275362360204064
1,5,O=C(COc1ccccc1Cl)Nn1cnnc1,0.20355844497680664,0.9364315867424011,0.8657155632972717,0.16452068759679597
2,1,Cc1ccc(NC(=O)Cn2c(=O)c(C(F)(F)F)nc3ccccc32)c(C)c1,0.34600985050201416,0.8436091542243958,0.9425315856933594,0.43471413360133104
2,2,O=C1c2ccccc2C(O)N1Cc1ccccc1Cl,0.2658972442150116,0.9050689339637756,0.9058775901794434,0.47360222277831504
2,3,Cc1nc2sc(C(=O)c3ccccc3)c(N)c2c(C)c1C,0.2525399625301361,0.9198629260063171,0.9029812812805176,0.46499055497527714
2,4,CC(=O)N1CCN(Cc2oc3c(c2C)C(=O)C(=O)c2ccccc2-3)CC1,0.23471996188163757,0.9211470484733582,0.8860692977905273,0.160555751027256
2,5,Cc1cc(C)c(C(N)=O)c(Cl)n1,0.1890629380941391,0.9464855194091797,0.8583292961120605,0.007068417011559961
3,1,CNc1ccccc1-c1nc2ccccc2n(C)c1=O,0.3437544107437134,0.8654763698577881,0.9557386040687561,0.4064694223485302
3,2,Cc1c(O)ccc(C(=O)Cc2ccccc2Cl)c1O,0.31099143624305725,0.8858067393302917,0.9373513460159302,0.18483047504762146
3,3,Cc1c(C)c2c(c(N)c1C#N)C(=O)N(NC(=S)Nc1ccccc1)C2=O,0.2609800696372986,0.9210293292999268,0.9122461676597595,0.4289522117905443
3,4,CCc1cc(C)c(Oc2c(I)c(C)c(CC(N)C(=O)O)c(C)c2I)c(C)c1C(=O)c1ccccc1,0.25507181882858276,0.9204232692718506,0.9059093594551086,0.4705619740571601
3,5,Cc1nc(SCn2nnc3ccccc3c2=O)c2c(C)c(C)sc2n1,0.252263605594635,0.922828733921051,0.9048020243644714,0.15372042833967248
4,1,Cc1cccc(Oc2sc(C(=O)c3ccccc3)c(N)c2C#N)c1C,0.35578522086143494,0.8571094274520874,0.9618531465530396,0.4417261042993862
4,2,O=C(O)Cn1c(=O)c(CCc2ccccc2)nc2ccccc21,0.361861914396286,0.8340393900871277,0.9516167640686035,0.4264014327112209
4,3,Cc1cc(C)c(C)c(N2C(=O)c3ccccc3C2=O)c1C,0.33024150133132935,0.8764082789421082,0.9499557018280029,0.44320263021395917
4,4,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CCn1nc2ccccn2c1=O,0.2854865491390228,0.8981183171272278,0.920552134513855,0.17178241207034267
4,5,NCCCC(NC(=O)c1ccccc1)B(O)O,0.24989420175552368,0.9275657534599304,0.9057822227478027,0.008031938983047998
5,1,Cc1ccccc1-n1c(C)nc2c1C(=O)c1ccccc1C2=O,0.35103920102119446,0.8635293841362,0.9616466760635376,0.15325776234419897
5,2,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccccc2C(=O)O)c1C,0.3132806420326233,0.8784467577934265,0.9344362616539001,0.16879466394447717
5,3,CCNC(=O)c1ccc(-c2c(C#N)c(N)n3c(nc4ccccc43)c2C#N)cc1,0.2887541353702545,0.9003005027770996,0.9253627061843872,0.1512864325212786
5,4,COc1cccc(C2C(C(=O)c3ccccc3)=C(O)C(=O)N2Cc2ccco2)c1,0.28124210238456726,0.9013050198554993,0.9185609817504883,0.16204655135825616
5,5,Cc1ccc(NC(=O)C2CSc3c(C4CC4)c(Cc4cccc(C)c4C)c(N)c(=O)n32)cc1,0.25750434398651123,0.9209501147270203,0.9087144136428833,0.007451499765569198
6,1,Cc1nc2ccccc2n(Cc2ccccc2)c1=O,0.41103658080101013,0.7462208271026611,0.9386943578720093,0.41005071993639275
6,2,Cc1cc2c(c(C)c1C)C(=O)C1(OC(=O)c3ccccc31)O2,0.2821574807167053,0.8850553035736084,0.9079861044883728,0.16020935202387313
6,3,Cc1c(C=CC(=O)Nc2ccccc2)c(C(=O)O)n(C)c1C,0.2782518267631531,0.8936306238174438,0.9101440906524658,0.17380669889161648
6,4,N#Cc1c(N)nc2sc(C(=O)c3cccc(Cl)c3)c(N)c2c1-c1ccccc1Br,0.26623111963272095,0.8915476202964783,0.896650493144989,0.14796104990258613
6,5,COc1c(C)cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)cc1C,0.20536617934703827,0.9279026389122009,0.8614924550056458,0.15622011140247688
7,1,Cc1[nH]c2ccccc2c1C(=O)COC(=O)Cn1c(C)nc2ccccc21,0.3226017951965332,0.8585290908813477,0.9296735525131226,0.18094863148049606
7,2,Cc1cc(C)n(Cc2ccccc2F)c(=O)c1C#N,0.2776103615760803,0.8915640115737915,0.9080412983894348,0.16221958563217542
7,3,NC(=O)c1cccc(N2C(=O)c3ccccc3C2=O)c1,0.30069372057914734,0.8499530553817749,0.9017013311386108,0.4330127018922193
7,4,Cc1c(-c2ccccc2)sc(N)c1C(=O)OC(C)(C)C,0.2541064918041229,0.8951786160469055,0.8870933055877686,0.1786580501308564
7,5,O=C(O)CCN1C(=O)C(=Cc2ccc(-c3nc4ccccc4s3)o2)SC1=S,0.22647243738174438,0.9206185340881348,0.8774480223655701,0.1501861529550426
8,1,O=C(O)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O,0.3442225158214569,0.8225348591804504,0.9258425235748291,0.4099600308453939
8,2,COc1ccc(C=NNC(=O)Cn2c(=O)c(C)nc3ccccc32)c(OC)c1,0.3511926233768463,0.7847386598587036,0.9060866832733154,0.46770717334674267
8,3,Cc1c(C(=O)c2ccccc2)[n+]([O-])c2cc(Cl)c(Cl)cc2[n+]1[O-],0.2461453080177307,0.8992650508880615,0.8820217251777649,0.4548588261473421
8,4,Cc1c(C)c2c(c(N)c1C#N)C(=O)N(N)C2=O,0.21770329773426056,0.8804317116737366,0.8402625322341919,0.12206267749422128
8,5,CNc1ncnc2c1ncn2Cc1ccccc1Cl,0.22370824217796326,0.8929745554924011,0.8551366329193115,0.43495883620084
9,1,O=C(c1ccccc1)c1nc2ccccc2n2cnnc12,0.3423337936401367,0.8375362157821655,0.9345613121986389,0.14188911682442423
9,2,COc1ccc(C)cc1CN1C(=O)c2ccccc2C1=O,0.335136353969574,0.829895555973053,0.9219611287117004,0.4629100498862757
9,3,Cc1cc2c(cc1C)[n+]([O-])c(C(=O)C=Cc1ccccc1Cl)c(C)[n+]2[O-],0.27126947045326233,0.872775673866272,0.8884150981903076,0.47237749297333015
9,4,NC(=S)NNc1c([N+](=O)[O-])cnn(-c2ccccc2)c1=O,0.23571781814098358,0.9190152883529663,0.8855597376823425,0.14429418839867642
9,5,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccn(Cc2ccccc2Cl)c1=O,0.26415956020355225,0.8934673070907593,0.8959363698959351,0.4240944648399854
10,1,O=C1C(=O)N(Cc2ccccc2Cl)c2ccc(OC(F)(F)F)cc21,0.33405253291130066,0.854575514793396,0.9383286237716675,0.4490887131390719
10,2,COC(=O)c1c(Cc2ccccc2)[n+]([O-])c2cc(C)c(C)cc2[n+]1[O-],0.3399845361709595,0.831824541091919,0.928173303604126,0.4978586625371179
10,3,CC(C(=O)Nc1nc[nH]n1)N1C(=O)c2ccccc2C1=O,0.29597175121307373,0.8632364869117737,0.9063721299171448,0.4273273869671518
10,4,Cc1cc(C)cc(Cn2c(SCC(=O)Nc3ccccc3Cl)nc3ccccc32)c1,0.3235875368118286,0.8469310402870178,0.9224582314491272,0.1675396676218889
10,5,CC1=CC(C)(C)Nc2cc3c(cc21)-c1ccccc1C3O,0.24138520658016205,0.9182373881340027,0.8906770944595337,0.17029509046480762
11,1,Cc1ccc(OC(=O)CN2C(=O)c3ccccc3C2=O)cc1C,0.39262381196022034,0.7973179221153259,0.956412672996521,0.46423834544262965
11,2,O=C1CCC(=O)N1c1nn(Cc2ccccc2Cl)cc1Cl,0.2929196059703827,0.8756282329559326,0.912082314491272,0.45115387952321717
11,3,Cc1c(C(=O)NCCc2ccccc2)[n+]([O-])c2ccccc2[n+]1[O-],0.3109874427318573,0.8532591462135315,0.9143327474594116,0.42292054645983584
11,4,COC(=O)c1c(C(F)(F)F)nn(CC=Cc2ccccc2)c(=O)c1OC,0.27434369921684265,0.9009687900543213,0.9114248752593994,0.17770265263976684
11,5,O=c1nc2n(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3ccccc3nc-2c(=O)[nH]1,0.2588016092777252,0.8901011347770691,0.8881981372833252,0.1355246519877378
12,1,O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc(Cl)cn1,0.38263824582099915,0.8004541993141174,0.9486448764801025,0.44528177828086063
12,2,Cc1cc2c(ncn2Cc2ccccc2)c(N)c1C,0.3234246075153351,0.8631318807601929,0.9337509870529175,0.4369314487526515
12,3,CC(=O)Oc1ccccc1C(=O)Nc1c(C#N)[n+]([O-])c2cc(C)ccc2[n+]1[O-],0.30084872245788574,0.883441686630249,0.9255363345146179,0.45069390943299864
12,4,NC(CC(=O)N1CCN(Cc2ccccc2Cl)C(=O)C1)Cc1cc(F)c(F)cc1F,0.27477285265922546,0.8905888199806213,0.9045141935348511,0.4605661864718383
12,5,CCc1ccccc1C=C1CCc2cc(OC)ccc2C1=O,0.2804129123687744,0.8929509520530701,0.9118245840072632,0.4433747811741175
13,1,CN1C(=O)C(=C(Nc2ccccc2)SCc2ccccc2Cl)C(=O)N(C)C1=O,0.3470523953437805,0.853445827960968,0.9505296945571899,0.4489436352114809
13,2,COc1ccc2c(c1)[n+]([O-])c1ccc(N)cc1[n+]2[O-],0.2752121090888977,0.9134587049484253,0.9211249351501465,0.3746343246326776
13,3,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=S,0.319638729095459,0.8720147609710693,0.9362462759017944,0.408248290463863
13,4,CCOc1ccccc1C(=O)Nc1cc2c3c(c1)CCN3C(=O)CC2,0.29201775789260864,0.8967943787574768,0.9261471629142761,0.16518274535259517
13,5,Cc1sc2ncn(CC(=O)NCCc3ccccc3)c(=O)c2c1C,0.3208470642566681,0.8525977730751038,0.9237247705459595,0.46742635244280273
14,1,Cc1ccc(N2C(=O)c3ccccc3C2=O)nc1,0.4116382598876953,0.7728301286697388,0.9581117033958435,0.4303314829119352
14,2,COc1cccc(C(=O)Nc2cccn(Cc3ccccc3Cl)c2=O)c1,0.37909960746765137,0.8107714653015137,0.9524015784263611,0.47711872361369784
14,3,COc1cc(CC(C)N)c(OC)cc1CCCc1ccccc1,0.2952239513397217,0.8885509371757507,0.9235243201255798,0.1741659277258904
14,4,N#Cc1c(NC(=O)c2cccs2)[n+]([O-])c2cc(F)ccc2[n+]1[O-],0.2860316038131714,0.8793174028396606,0.9078028798103333,0.35777087639996635
14,5,C#CCN1C(=O)C(=NNC(=O)C(C)Oc2cc(Cl)c(Cl)cc2Cl)c2ccccc21,0.28015628457069397,0.9056499600410461,0.9205474853515625,0.44550340340198086
