method,file,T_total,budget,AUC_TopK_fullrun,best_so_far@B,Top1@B,Top10@B
ucb,logs_trial1_terminal_output_jax_ucb_fex.csv,200,10,0.617205234920635,0.5604,0.5604,0.42227
ucb_aug,logs_trial1_terminal_output_jax_ucb_aug_fex.csv,200,10,0.6078405823323412,0.5375,0.5375,0.12118245000000001
ucb,logs_trial1_terminal_output_jax_ucb_fex.csv,200,20,0.617205234920635,0.5604,0.5604,0.5301400000000001
ucb_aug,logs_trial1_terminal_output_jax_ucb_aug_fex.csv,200,20,0.6078405823323412,0.6074,0.6074,0.5437199999999999
ucb,logs_trial1_terminal_output_jax_ucb_fex.csv,200,50,0.617205234920635,0.6368,0.6368,0.5914900000000001
ucb_aug,logs_trial1_terminal_output_jax_ucb_aug_fex.csv,200,50,0.6078405823323412,0.667,0.667,0.62923
ucb,logs_trial1_terminal_output_jax_ucb_fex.csv,200,100,0.617205234920635,0.6815,0.6815,0.64327
ucb_aug,logs_trial1_terminal_output_jax_ucb_aug_fex.csv,200,100,0.6078405823323412,0.6813,0.6813,0.64952
ucb,logs_trial1_terminal_output_jax_ucb_fex.csv,200,200,0.617205234920635,0.6964,0.6964,0.67669
ucb_aug,logs_trial1_terminal_output_jax_ucb_aug_fex.csv,200,200,0.6078405823323412,0.7174,0.7174,0.69515
